investigation,regime,month,horizon,n,median_forward_return,mean_forward_return,mfe_median,mae_median,p_plus_1R_before_minus_1R,p_minus_1R_before_plus_1R,p_neither,future_vol_median
09_trend_volatility,ALL,2024-01,1h,8879,4.517988518859539e-05,2.124765258139537e-05,0.002436590629568691,0.0025849353161649935,0.06160603671584638,0.06994030859331006,0.8684536546908436,0.006044419303772644
09_trend_volatility,ALL,2024-01,4h,8879,0.00010970119415509849,4.231866353943963e-05,0.004969630310632134,0.0055054863312613556,0.22795359837819573,0.2545331681495664,0.5175132334722379,0.012988063661384148
09_trend_volatility,ALL,2024-01,12h,8879,0.00016819784970056872,4.586004963755207e-05,0.009669893447409983,0.011107498180053299,0.37673161392048654,0.4631152156774411,0.1601531704020723,0.024114561654695024
09_trend_volatility,ALL,2024-02,1h,8352,0.00017945023415866235,0.0005433406629831935,0.0022698596686994144,0.0020405115673953755,0.06297892720306514,0.04645593869731801,0.8905651340996169,0.005123814417060886
09_trend_volatility,ALL,2024-02,4h,8352,0.0007985761364643906,0.002183776461520156,0.0054436066594754084,0.0041934029314550925,0.24952107279693486,0.14212164750957854,0.6083572796934866,0.01106414300615369
09_trend_volatility,ALL,2024-02,12h,8352,0.002661702422199097,0.006682677324324979,0.010881310864947258,0.006887750125684822,0.47701149425287354,0.2855603448275862,0.23742816091954022,0.020447628455453313
09_trend_volatility,ALL,2024-03,1h,8928,0.0002679720546627795,0.00022015766293167994,0.0034250420186016095,0.0031974183236427867,0.11727150537634409,0.131160394265233,0.7515681003584229,0.007938271928965625
09_trend_volatility,ALL,2024-03,4h,8928,0.0012179394258780007,0.0008858192643981964,0.007437259817941966,0.0061336376404526605,0.34408602150537637,0.299171146953405,0.35674283154121866,0.016347866563686718
09_trend_volatility,ALL,2024-03,12h,8928,0.001785981503882983,0.002374695251074401,0.013753420211916834,0.012328929774779063,0.49988799283154123,0.3949372759856631,0.1051747311827957,0.0315724724549345
09_trend_volatility,ALL,2024-04,1h,8640,-0.0001445815801738859,-0.00020323636028925674,0.002852860207444574,0.0030299879090880943,0.08391203703703703,0.10844907407407407,0.8076388888888889,0.007169258802101146
09_trend_volatility,ALL,2024-04,4h,8640,-0.0004773396933082652,-0.000835285028169492,0.005935189096255122,0.00678445560706431,0.2520833333333333,0.3453703703703704,0.4025462962962963,0.015315792013244355
09_trend_volatility,ALL,2024-04,12h,8640,-0.0005990701567146206,-0.0026435425941208116,0.010227333160891527,0.013709022211331412,0.3980324074074074,0.5255787037037037,0.0763888888888889,0.028979508989723762
09_trend_volatility,ALL,2024-05,1h,8928,5.3028772750152164e-05,0.00016262376096854396,0.0024534526000256074,0.0022518415072591558,0.053651433691756276,0.05566756272401434,0.8906810035842294,0.005599268509785955
09_trend_volatility,ALL,2024-05,4h,8928,0.0006720940673013986,0.0006802306579643823,0.005338688862189356,0.004763678783120839,0.23342293906810035,0.2152777777777778,0.5512992831541219,0.012234504380231468
09_trend_volatility,ALL,2024-05,12h,8928,0.0012175374272261896,0.002356799343243412,0.010009598558474608,0.00814051845994962,0.44388440860215056,0.3695116487455197,0.18660394265232974,0.021387283825588046
09_trend_volatility,ALL,2024-06,1h,8640,-1.1613444137748008e-05,-9.607194153252308e-05,0.001578532011611511,0.0016678557526418336,0.026851851851851852,0.03796296296296296,0.9351851851851852,0.0041490436285499055
09_trend_volatility,ALL,2024-06,4h,8640,-6.94159747712253e-05,-0.00034052088523477294,0.003329482478948931,0.0034543502410479543,0.14675925925925926,0.15324074074074073,0.7,0.008793547706301148
09_trend_volatility,ALL,2024-06,12h,8640,0.00014919508487587496,-0.0010608554561317908,0.006766770883388951,0.006338762115017049,0.3091435185185185,0.3013888888888889,0.3894675925925926,0.01753239627059972
09_trend_volatility,ALL,2024-07,1h,8928,0.00012583094258877825,5.418547772505353e-05,0.0027619755115640965,0.0025798164551133485,0.06720430107526881,0.07291666666666667,0.8598790322580645,0.006435237454059118
09_trend_volatility,ALL,2024-07,4h,8928,0.0006059299830347697,0.00013975625557154404,0.005969261624468203,0.005647612798597601,0.26366487455197135,0.2743055555555556,0.4620295698924731,0.013851019663836001
09_trend_volatility,ALL,2024-07,12h,8928,0.0009171033336692336,0.00046748474194255806,0.011274454465948325,0.011191202233273023,0.4718862007168459,0.4536290322580645,0.0744847670250896,0.025206341433060477
09_trend_volatility,ALL,2024-08,1h,8928,2.8429475890434652e-05,-9.730011695970736e-05,0.0028323226949705793,0.002891856131382209,0.08400537634408602,0.11391129032258064,0.8020833333333334,0.006903259783145106
09_trend_volatility,ALL,2024-08,4h,8928,2.4318743931939224e-06,-0.00037658477043061027,0.005914462376664598,0.006428608245282352,0.23823924731182797,0.31899641577060933,0.44276433691756273,0.014543240644356904
09_trend_volatility,ALL,2024-08,12h,8928,0.00019847778189685528,-0.001239405739014651,0.011123342036194694,0.013063659255172222,0.396505376344086,0.4807347670250896,0.12275985663082438,0.02909111262468804
09_trend_volatility,ALL,2024-09,1h,8640,1.900958799316843e-05,0.00010957111289747723,0.0022327355503837243,0.0022829560575167718,0.048726851851851855,0.04583333333333333,0.9054398148148148,0.005443627924990688
09_trend_volatility,ALL,2024-09,4h,8640,0.00022184879455400264,0.00046990086950369895,0.0047363018157805525,0.004980874296895588,0.21354166666666666,0.20590277777777777,0.5805555555555556,0.011490070813354267
09_trend_volatility,ALL,2024-09,12h,8640,0.0009091241292048524,0.0015858753452226708,0.009026299686663686,0.008833858399672379,0.39143518518518516,0.3940972222222222,0.2144675925925926,0.02190367771475559
09_trend_volatility,ALL,2024-10,1h,8928,0.00011152585916929247,0.0001496506893653184,0.0020370569858961796,0.0019581306959067235,0.035842293906810034,0.038418458781362005,0.925739247311828,0.004837495015192324
09_trend_volatility,ALL,2024-10,4h,8928,0.0004403619224778721,0.00053955112863744,0.0045382125699198195,0.0040039492843494395,0.18906810035842295,0.16263440860215053,0.6482974910394266,0.010431959975830846
09_trend_volatility,ALL,2024-10,12h,8928,0.00118509825569868,0.0015165804951164767,0.008753990473147066,0.007261577464001967,0.4128584229390681,0.33747759856630827,0.24966397849462366,0.019963731799554678
09_trend_volatility,ALL,2024-11,1h,8640,0.00032556245366266445,0.0004565900402762749,0.0028840030038950193,0.0027323271457819764,0.08854166666666667,0.08564814814814815,0.8258101851851852,0.006631207977840114
